User1   User2   Similarity
53336, 90543, 0.51
69050, 95734, 0.53
80501, 95734, 0.52
372, 46314, 0.52
23437, 87946, 0.52
11107, 72086, 0.52
22537, 72086, 0.53
23769, 29613, 0.53
4337, 74887, 0.51
43131, 58535, 0.53
28384, 91311, 0.51
33145, 67674, 0.56
49369, 67674, 0.52
49369, 92163, 0.55
7872, 46204, 0.52
7872, 99432, 0.57
9467, 86932, 0.52
41668, 86932, 0.55
41668, 99432, 0.55
46204, 99432, 0.51
81199, 86932, 0.52
81199, 99432, 0.51
86932, 99432, 0.55
57607, 71302, 0.53
9771, 42354, 0.52
35226, 78516, 0.55
35226, 91157, 0.53
58232, 83312, 0.52
61933, 78516, 0.52
61933, 91157, 0.54
72834, 89710, 0.51
78516, 91157, 0.53
82731, 91157, 0.51
83312, 91157, 0.55
82250, 86933, 0.51
86933, 96497, 0.52
2740, 37277, 0.58
2740, 46364, 0.57
2740, 56568, 0.55
2740, 72732, 0.56
2740, 86265, 0.54
2740, 90296, 0.54
2740, 92029, 0.61
2740, 97185, 0.54
19215, 46364, 0.52
37277, 50435, 0.53
37277, 72732, 0.57
37277, 85466, 0.52
37277, 92029, 0.52
46364, 92029, 0.56
50435, 63303, 0.51
50435, 85466, 0.54
50435, 92029, 0.51
56568, 90296, 0.51
63303, 85466, 0.54
72732, 78493, 0.51
72732, 85466, 0.51
72732, 92029, 0.56
86265, 92029, 0.51
90296, 92029, 0.53
176, 5485, 0.52
176, 81962, 0.51
705, 33486, 0.53
1694, 2825, 0.53
1694, 89022, 0.57
2825, 5485, 0.55
2825, 89022, 0.57
5485, 55942, 0.52
5485, 81962, 0.51
17155, 99725, 0.51
37752, 71275, 0.51
42121, 81962, 0.51
55942, 89022, 0.53
93450, 99725, 0.53
10415, 77806, 0.51
15424, 94054, 0.51
18618, 74190, 0.51
32721, 77806, 0.52
37424, 69057, 0.51
32005, 100246, 0.51
50522, 69330, 0.51
57484, 93091, 0.52
63030, 93281, 0.51
16792, 78401, 0.53
26337, 90659, 0.51
36271, 90659, 0.51
58913, 61949, 0.52
61949, 80000, 0.53
61949, 90659, 0.51
61949, 94684, 0.52
78401, 90659, 0.51
84087, 90659, 0.52
488, 16013, 0.52
488, 20028, 0.52
488, 20788, 0.56
488, 38298, 0.51
488, 53266, 0.52
488, 72583, 0.51
488, 87233, 0.53
10030, 33366, 0.55
10030, 53266, 0.51
10030, 59454, 0.53
14575, 97493, 0.53
16013, 33366, 0.51
16013, 51233, 0.56
16013, 59636, 0.54
19493, 91946, 0.55
20788, 28511, 0.52
20788, 38298, 0.52
20788, 53266, 0.52
